ID,gender,race,parental level of education,lunch,test preparation course,math score,physics score,computer science score,economics score,biology score,literature score,psychology score,history score
1,female,European,some high school,standard,none,59,52,60,63,65,69,62,71
2,male,European,bachelor's degree,standard,completed,74,69,75,75,69,69,70,70
3,male,European,some high school,standard,none,73,74,89,73,74,83,85,81
4,female,European,high school,free/reduced,none,79,77,81,81,76,82,82,71
5,female,Asian,master's degree,free/reduced,none,94,87,93,93,93,86,90,89
6,female,European,bachelor's degree,standard,completed,68,70,74,76,71,90,83,86
7,male,European,some college,standard,none,65,68,75,69,70,77,81,79
8,female,European,associate's degree,standard,none,62,63,66,64,65,76,76,80
9,male,European,associate's degree,free/reduced,none,85,88,88,86,88,80,79,82
10,male,European,doctorate,standard,none,72,70,72,76,74,85,83,76
11,male,European,some college,standard,none,70,80,75,77,78,81,79,77
12,male,African,some high school,standard,none,69,66,68,67,66,72,74,67
13,male,American,high school,standard,completed,57,60,59,63,58,77,71,72
14,male,European,some high school,standard,completed,83,80,80,84,83,98,91,95
15,female,European,doctorate,standard,none,73,80,83,82,75,88,86,90
16,female,Asian,some high school,standard,completed,79,83,88,80,84,87,86,84
17,female,Asian,associate's degree,standard,none,78,75,82,81,71,81,83,84
18,male,Asian,some college,standard,none,77,84,83,74,73,63,62,65
19,female,American,doctorate,free/reduced,none,89,93,97,97,96,87,88,91
20,male,European,master's degree,standard,none,67,54,63,69,67,80,86,79
21,male,Asian,bachelor's degree,standard,completed,70,77,77,80,84,81,77,83
22,female,European,doctorate,free/reduced,none,85,85,86,79,78,87,83,83
23,female,European,some college,standard,none,51,47,60,57,56,58,60,61
24,female,European,associate's degree,standard,completed,95,97,90,96,95,100,98,94
25,female,European,bachelor's degree,standard,completed,76,81,80,82,72,95,83,85
26,female,European,doctorate,standard,completed,63,71,75,66,73,73,67,68
27,female,European,doctorate,free/reduced,none,71,62,74,72,65,75,76,79
28,female,European,bachelor's degree,free/reduced,completed,98,95,100,93,95,91,96,93
29,male,European,associate's degree,free/reduced,none,75,76,82,74,74,77,79,74
30,female,Asian,high school,standard,none,51,45,51,64,49,70,71,68
31,male,European,associate's degree,free/reduced,none,75,70,68,66,70,73,79,74
32,female,European,doctorate,standard,completed,79,75,84,73,77,79,75,74
33,female,European,some high school,standard,none,63,64,64,73,63,78,75,81
34,male,European,some high school,standard,completed,86,80,87,77,85,73,65,71
35,female,European,some high school,standard,completed,89,89,86,82,81,87,92,86
36,male,European,bachelor's degree,standard,none,79,69,78,83,78,81,83,83
37,male,European,some high school,standard,none,75,76,76,72,77,83,76,73
38,female,American,high school,standard,none,80,76,69,76,73,72,80,71
39,male,European,associate's degree,standard,none,80,75,77,74,76,84,82,84
40,male,European,some college,free/reduced,none,72,67,79,81,73,75,76,77
41,female,American,some high school,standard,none,82,71,82,78,82,78,77,80
42,male,European,high school,standard,completed,75,76,81,84,75,90,82,84
43,female,European,master's degree,standard,none,93,88,92,93,87,94,92,94
44,male,European,master's degree,standard,completed,74,87,79,74,73,75,73,70
45,male,European,doctorate,standard,none,77,88,91,93,84,95,94,90
46,male,American,master's degree,free/reduced,completed,89,85,94,95,93,100,100,95
47,female,European,some college,standard,none,60,65,72,62,73,67,69,68
48,male,European,some college,standard,completed,78,72,81,78,77,90,87,88
49,female,European,doctorate,free/reduced,none,82,89,82,88,78,77,81,76
50,female,European,some college,free/reduced,completed,82,80,83,82,75,83,83,83
51,male,European,doctorate,standard,none,71,79,70,77,69,68,73,73
52,male,European,associate's degree,standard,completed,77,79,77,75,78,67,65,70
53,male,European,master's degree,standard,completed,57,66,61,62,60,57,52,62
54,female,European,doctorate,standard,none,94,97,93,90,90,88,85,88
